recNo,TxDate,Size,ProdName,UnitPrice
132,2021-08-25 13:12,,,
133,2021-08-25 13:15,,,
134,2021-08-25 13:17,,,
135,2021-08-25 13:19,,,
136,2021-08-25 13:21,,,
137,2021-08-25 13:23,,,
138,2021-08-25 13:25,,,
139,2021-08-25 13:27,,,
140,2021-08-25 13:29,,,
141,2021-08-25 13:31,,,
142,2021-08-25 13:33,,,
143,2021-08-25 13:35,,,
144,2021-08-25 13:37,,,
145,2021-08-25 13:39,,,
146,2021-08-25 13:41,,,
147,2021-08-25 13:43,,,
148,2021-08-25 13:46,,,
149,2021-08-25 13:48,Regular,Flavoured iced latte - Vanilla,2.75
150,2021-08-25 13:50,,,
151,2021-08-25 13:52,,,
152,2021-08-25 13:54,,,
153,2021-08-25 13:56,,,
154,2021-08-25 13:58,,,
155,2021-08-25 14:00,,,
156,2021-08-25 14:01,,,
157,2021-08-25 14:03,,,
158,2021-08-25 14:04,,,
159,2021-08-25 14:05,,,
160,2021-08-25 14:06,,,
161,2021-08-25 14:08,,,
162,2021-08-25 14:09,,,
163,2021-08-25 14:10,,,
164,2021-08-25 14:11,,,
165,2021-08-25 14:13,,,
166,2021-08-25 14:14,,,
167,2021-08-25 14:15,,,
168,2021-08-25 14:16,,,
169,2021-08-25 14:18,,,
170,2021-08-25 14:19,,,
171,2021-08-25 14:20,,,
172,2021-08-25 14:22,,,
173,2021-08-25 14:23,,,
174,2021-08-25 14:24,,,
175,2021-08-25 14:25,,,
176,2021-08-25 14:27,Regular,Latte,2.15
177,2021-08-25 14:28,,,
178,2021-08-25 14:29,,,
179,2021-08-25 14:30,,,
180,2021-08-25 14:32,,,
181,2021-08-25 14:33,,,
182,2021-08-25 14:34,,,
183,2021-08-25 14:35,,,
184,2021-08-25 14:37,,,
185,2021-08-25 14:38,,,
186,2021-08-25 14:39,,,
187,2021-08-25 14:41,,,
188,2021-08-25 14:42,,,
189,2021-08-25 14:43,,,
190,2021-08-25 14:44,,,
191,2021-08-25 14:46,,,
192,2021-08-25 14:47,Large,Flavoured iced latte - Vanilla,3.25
193,2021-08-25 14:48,,,
194,2021-08-25 14:49,,,
195,2021-08-25 14:51,,,
196,2021-08-25 14:52,,,
197,2021-08-25 14:53,,,
198,2021-08-25 14:54,,,
199,2021-08-25 14:56,,,
200,2021-08-25 14:57,,,
201,2021-08-25 14:58,,,
202,2021-08-25 15:00,,,
203,2021-08-25 15:01,,,
204,2021-08-25 15:02,,,
205,2021-08-25 15:03,,,
206,2021-08-25 15:05,,,
207,2021-08-25 15:06,,,
208,2021-08-25 15:07,,,
209,2021-08-25 15:08,,,
210,2021-08-25 15:10,,,
211,2021-08-25 15:11,,,
212,2021-08-25 15:12,,,
213,2021-08-25 15:13,,,
214,2021-08-25 15:15,,,
215,2021-08-25 15:16,,,
216,2021-08-25 15:17,,,
217,2021-08-25 15:18,,,
218,2021-08-25 15:20,,,
219,2021-08-25 15:21,,,
220,2021-08-25 15:22,,,
221,2021-08-25 15:23,,,
222,2021-08-25 15:25,,,
223,2021-08-25 15:26,,,
224,2021-08-25 15:27,,,
225,2021-08-25 15:28,,,
226,2021-08-25 15:30,,,
227,2021-08-25 15:31,,,
228,2021-08-25 15:32,,,
229,2021-08-25 15:33,,,
230,2021-08-25 15:35,,,
231,2021-08-25 15:36,,,
232,2021-08-25 15:37,,,
233,2021-08-25 15:38,,,
234,2021-08-25 15:40,,,
235,2021-08-25 15:41,,,
236,2021-08-25 15:42,,,
237,2021-08-25 15:43,,,
238,2021-08-25 15:45,,,
239,2021-08-25 15:46,,,
240,2021-08-25 15:47,,,
241,2021-08-25 15:48,,,
242,2021-08-25 15:50,,,
243,2021-08-25 15:51,,,
244,2021-08-25 15:52,,,
245,2021-08-25 15:53,,,
246,2021-08-25 15:55,,,
247,2021-08-25 15:56,Regular,Flavoured iced latte - Hazelnut,2.75
248,2021-08-25 15:57,,,
249,2021-08-25 15:58,,,
250,2021-08-25 16:00,,,
251,2021-08-25 16:03,,,
252,2021-08-25 16:07,,,
253,2021-08-25 16:10,,,
254,2021-08-25 16:14,,,
255,2021-08-25 16:17,,,
256,2021-08-25 16:21,,,
257,2021-08-25 16:24,,,
258,2021-08-25 16:28,,,
259,2021-08-25 16:31,,,
260,2021-08-25 16:35,Large,Latte,2.45
261,2021-08-25 16:38,,,
262,2021-08-25 16:42,,,
263,2021-08-25 16:45,,,
264,2021-08-25 16:49,,,
265,2021-08-25 16:52,,,
266,2021-08-25 16:56,,,
267,2021-08-25 16:59,,,
